codigo_docente,nome_docente
1823410,Sérgio Almeida Pacca
6600021,Sonia Regina Paulino
5528582,Leonardo Dias Meireles
2527616,Regina Maura de Miranda
1823410,Sérgio Almeida Pacca
6600021,Sonia Regina Paulino
5528582,Leonardo Dias Meireles
2527616,Regina Maura de Miranda
1823410,Sérgio Almeida Pacca
6600021,Sonia Regina Paulino
2546570,Alex Antonio Florindo
3082508,Helton Hideraldo Biscaro
767569,João Luiz Bernardes Junior
3082508,Helton Hideraldo Biscaro
767569,João Luiz Bernardes Junior
3082508,Helton Hideraldo Biscaro
767569,João Luiz Bernardes Junior
3082508,Helton Hideraldo Biscaro
767569,João Luiz Bernardes Junior
3082508,Helton Hideraldo Biscaro
767569,João Luiz Bernardes Junior
3082508,Helton Hideraldo Biscaro
767569,João Luiz Bernardes Junior
5033416,Claudia Regina Garcia Vicentini
7779008,Francisca Dantas Mendes
4845494,Mauricio de Campos Araujo
5780146,Regina Aparecida Sanches
5033416,Claudia Regina Garcia Vicentini
7779008,Francisca Dantas Mendes
4845494,Mauricio de Campos Araujo
5780146,Regina Aparecida Sanches
5033416,Claudia Regina Garcia Vicentini
7779008,Francisca Dantas Mendes
4845494,Mauricio de Campos Araujo
5780146,Regina Aparecida Sanches
5033416,Claudia Regina Garcia Vicentini
7779008,Francisca Dantas Mendes
4845494,Mauricio de Campos Araujo
5780146,Regina Aparecida Sanches
5033416,Claudia Regina Garcia Vicentini
7779008,Francisca Dantas Mendes
4845494,Mauricio de Campos Araujo
5780146,Regina Aparecida Sanches
5033416,Claudia Regina Garcia Vicentini
7779008,Francisca Dantas Mendes
4845494,Mauricio de Campos Araujo
5780146,Regina Aparecida Sanches
1208111,Patricia Junqueira Grandino
1208111,Patricia Junqueira Grandino
4966179,Juliana Pedreschi Rodrigues
161192,Beatriz Aparecida Ozello Gutierrez
161192,Beatriz Aparecida Ozello Gutierrez
131031,Edemilson Antunes de Campos
878351,Gislene Aparecida dos Santos
1452862,Pablo Ortellado
2109999,Fabio Lotti Oliva
260258,Carlos Henrique Barbosa Gonçalves
2373511,Rogério Monteiro de Siqueira
1916087,Thomás Augusto Santoro Haddad
3755807,Stephane Remy Georges Malysse
5347246,Fernando Jesús Carbayo Baz
889774,Luis Mochizuki
6631565,Carlos Alcides Salles
5347246,Fernando Jesús Carbayo Baz
2872716,Diego Antonio Falceta Gonçalves
1738717,Roberto Pereira Ortiz
799735,Luiz Paulo Moura Andrioli
3164916,Tiago Mauricio Francoy
2566012,Isabel Cristina Italiano
6702491,Caroline Ribeiro de Borja Oliveira
5729116,Tânia Araújo Viel
6702491,Caroline Ribeiro de Borja Oliveira
6956592,Ana Carla Bliacheriene
3733052,Ester Gammardella Rizzi
2937197,Luiz Gustavo Bambini de Assis
5607659,Marcelo Arno Nerling
2341766,Carlos Molina Mendes
2872716,Diego Antonio Falceta Gonçalves
1090723,Júlia Baruque Ramos
8475697,Elaine Cristina Borges
72112,Joao Muccillo Netto
1090723,Júlia Baruque Ramos
2341766,Carlos Molina Mendes
2872716,Diego Antonio Falceta Gonçalves
969387,Káthia Maria Honorio
4779987,Ivana Brito
4881727,Flávio de Oliveira Pires
1791624,Reury Frank Pereira Bacurau
1161555,Francisco Luciano Pontes Junior
4983370,Viviane Abreu Nunes Cerqueira Dantas
4983370,Viviane Abreu Nunes Cerqueira Dantas
1034560,Lucy Gomes Sant Anna
2050208,Rosely Aparecida Liguori Imbernon
479262,Agnaldo Valentin
3031417,André Gal Mountian
1887012,Wagner Pralon Mancuso
479262,Agnaldo Valentin
3031417,André Gal Mountian
